indicator,group,model,full_auc,m2f_auc,f2m_auc,m2f_drop,f2m_drop,stable,auc,sens,spec,n_feat,n_pos,n_neg,best_model
hipline,q3,SVM,0.6931,0.7583,0.6639,-0.0652,0.0292,Y,0.6931,0.8723,0.4894,10,94,94,False
waistline,q4,XGB,0.6931,0.6805,0.7433,0.0126,-0.0502,Y,0.6931,0.7123,0.625,4,73,72,False
BMI,q3,RF,0.6891,0.6399,0.6353,0.0492,0.0538,Y,0.6891,0.766,0.5368,4,94,95,False
waistline,q4,GBM,0.688,0.7063,0.7005,-0.0183,-0.0125,Y,0.688,0.4658,0.8333,4,73,72,False
waistline,q3,RF,0.6832,0.6011,0.6387,0.0821,0.0445,Y,0.6832,0.8,0.4737,3,95,95,True
hipline,q3,GBM,0.6767,0.7107,0.6748,-0.034,0.0019,Y,0.6767,0.7128,0.6383,10,94,94,False
BMI,q3,SVM,0.674,0.6919,0.7,-0.0179,-0.026,Y,0.674,0.7766,0.6211,4,94,95,False
BMI,q4,KNN,0.674,0.603,0.6651,0.071,0.0089,Y,0.674,0.7887,0.4789,11,71,71,False
hipline,q3,XGB,0.6726,0.7258,0.6336,-0.0532,0.039,Y,0.6726,0.7872,0.5213,10,94,94,False
bmi_z,q3,KNN,0.669,0.6457,0.6454,0.0233,0.0236,Y,0.669,0.5,0.7872,14,94,94,False
waistline,q3,GBM,0.6665,0.6049,0.616,0.0616,0.0505,Y,0.6665,0.5263,0.7789,3,95,95,False
BMI,q3,GBM,0.666,0.6445,0.5922,0.0215,0.0738,Y,0.666,0.8404,0.4526,4,94,95,False
waistline,q3,SVM,0.6658,0.568,0.6109,0.0978,0.0549,Y,0.6658,0.7263,0.5789,3,95,95,False
bmi_z,q3,LR,0.6633,0.6185,0.7,0.0448,-0.0367,Y,0.6633,0.5745,0.7553,14,94,94,False
waistline,q3,XGB,0.663,0.6214,0.642,0.0416,0.021,Y,0.663,0.8105,0.5263,3,95,95,False
weight,q4,XGB,0.6602,0.6813,0.6759,-0.0211,-0.0157,Y,0.6602,0.4861,0.76,8,72,75,False
waistline,q3,LR,0.6592,0.647,0.5824,0.0122,0.0768,Y,0.6592,0.5789,0.6632,3,95,95,False
hipline,q3,KNN,0.6581,0.7138,0.6588,-0.0557,-0.0007,Y,0.6581,0.6489,0.6809,10,94,94,False
BMI,q3,XGB,0.6526,0.6218,0.6059,0.0308,0.0467,Y,0.6526,0.5319,0.7158,4,94,95,False
weight,q3,KNN,0.6508,0.5789,0.6055,0.0719,0.0453,Y,0.6508,0.5532,0.734,7,94,94,True
weight,q4,SVM,0.6506,0.6474,0.6771,0.0032,-0.0265,Y,0.6506,0.5139,0.7467,8,72,75,False
